Stock,yr,ct,bt
SMA.SA.C1,1975,76.12911727,
SMA.SA.C1,1976,30.10530701,
SMA.SA.C1,1977,252.2559942,
SMA.SA.C1,1978,168.226432,
SMA.SA.C1,1979,299.4924922,
SMA.SA.C1,1980,323.6281638,
SMA.SA.C1,1981,375.0918652,
SMA.SA.C1,1982,973.6176097,
SMA.SA.C1,1983,511.6353008,
SMA.SA.C1,1984,744.7796805,
SMA.SA.C1,1985,785.5491165,
SMA.SA.C1,1986,608.7849887,
SMA.SA.C1,1987,386.1136733,
SMA.SA.C1,1988,1031.664608,
SMA.SA.C1,1989,1545.623982,
SMA.SA.C1,1990,1255.104974,
SMA.SA.C1,1991,1061.68298,
SMA.SA.C1,1992,1182.973523,
SMA.SA.C1,1993,1742.968282,
SMA.SA.C1,1994,2182.418664,
SMA.SA.C1,1995,3099.982095,
SMA.SA.C1,1996,2426.809222,
SMA.SA.C1,1997,2247.375188,
SMA.SA.C1,1998,2009.397192,
SMA.SA.C1,1999,1606.592,
SMA.SA.C1,2000,2589.703,
SMA.SA.C1,2001,2107.5573,
SMA.SA.C1,2002,2103.327,
SMA.SA.C1,2003,3235.6591,
SMA.SA.C1,2004,2525.709272,
SMA.SA.C1,2005,3258.909235,
SMA.SA.C1,2006,3035.68816,
SMA.SA.C1,2007,2786.008671,
SMA.SA.C1,2008,1929.07358,
SMA.SA.C1,2009,2086.907,
SMA.SA.C1,2010,2563.003532,
SMA.SA.C1,2011,3334.356073,
SMA.SA.C1,2012,2965.43032,
SMA.SA.C1,2013,1972.2062,
SMA.SA.C1,2014,3314.08022,
SMA.SA.C1,2015,2686.16752,
SMA.SA.C2,1971,1347.927645,
SMA.SA.C2,1972,1503.083704,
SMA.SA.C2,1973,1432.825854,
SMA.SA.C2,1974,1191.042018,
SMA.SA.C2,1975,1081.926291,
SMA.SA.C2,1976,1179.298896,
SMA.SA.C2,1977,1419.499464,
SMA.SA.C2,1978,1150.020321,
SMA.SA.C2,1979,1123.125081,
SMA.SA.C2,1980,1371.217641,
SMA.SA.C2,1981,1185.357824,
SMA.SA.C2,1982,1622.084419,
SMA.SA.C2,1983,1043.112839,
SMA.SA.C2,1984,1155.816047,
SMA.SA.C2,1985,1547.21305,
SMA.SA.C2,1986,1423.840944,
SMA.SA.C2,1987,1463.950422,
SMA.SA.C2,1988,1490.37392,
SMA.SA.C2,1989,1441.887419,
SMA.SA.C2,1990,1555.967815,
SMA.SA.C2,1991,1557.141311,
SMA.SA.C2,1992,1565.680759,
SMA.SA.C2,1993,1668.458589,
SMA.SA.C2,1994,2079.146844,
SMA.SA.C2,1995,2007.986419,
SMA.SA.C2,1996,1934.696682,
SMA.SA.C2,1997,2555.21119,
SMA.SA.C2,1998,2357.928843,
SMA.SA.C2,1999,2351.703501,
SMA.SA.C2,2000,2830.883756,
SMA.SA.C2,2001,2748.708357,
SMA.SA.C2,2002,2555.37074,
SMA.SA.C2,2003,2923.634868,
SMA.SA.C2,2004,2783.326036,
SMA.SA.C2,2005,2994.682915,
SMA.SA.C2,2006,2833.080775,
SMA.SA.C2,2007,3568.373271,
SMA.SA.C2,2008,2966.144418,
SMA.SA.C2,2009,3133.164405,
SMA.SA.C2,2010,3393.728496,
SMA.SA.C2,2011,3892.515316,
SMA.SA.C2,2012,2986.340511,
SMA.SA.C2,2013,2434.23365,
SMA.SA.C2,2014,2805.901271,
SMA.SA.C2,2015,2548.284918,
